2024-07-25 13:05:15,439 WARNING [selenium.webdriver.common.selenium_manager] [selenium_manager.py (_process_logs:127] - Problem reading geckodriver versions: error sending request for url (https://raw.githubusercontent.com/SeleniumHQ/selenium/trunk/common/geckodriver/geckodriver-support.json). Using latest geckodriver version
2024-07-25 13:05:24,375 INFO [root] [base.py (__init__:11] - 初始化driver<selenium.webdriver.firefox.webdriver.WebDriver (session="bb4d085b-8eae-4166-9b47-28383fb1563e")>
2024-07-25 13:05:24,376 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple6')
2024-07-25 13:05:24,376 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple6')
2024-07-25 13:05:24,613 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple2')
2024-07-25 13:05:24,613 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple2')
2024-07-25 13:05:24,827 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple3')
2024-07-25 13:05:24,827 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple3')
2024-07-25 13:05:25,046 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simpleSubtr')
2024-07-25 13:05:25,046 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simpleSubtr')
2024-07-25 13:05:25,267 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple1')
2024-07-25 13:05:25,267 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple1')
2024-07-25 13:05:25,486 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple2')
2024-07-25 13:05:25,486 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple2')
2024-07-25 13:05:25,700 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple3')
2024-07-25 13:05:25,701 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple3')
2024-07-25 13:05:25,915 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simpleEqual')
2024-07-25 13:05:25,915 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simpleEqual')
2024-07-25 13:05:26,131 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#resultIpt')
2024-07-25 13:05:26,135 INFO [root] [base.py (base_get_value:46] - 查找元素('css selector', '#resultIpt'),输入内容500
2024-07-25 13:05:26,135 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#resultIpt')
2024-07-25 13:05:26,138 INFO [root] [base.py (base_get_value:46] - 查找元素('css selector', '#resultIpt'),输入内容500
2024-07-25 13:05:26,140 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple4')
2024-07-25 13:05:26,140 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple4')
2024-07-25 13:05:26,353 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple4')
2024-07-25 13:05:26,353 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple4')
2024-07-25 13:05:26,559 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple3')
2024-07-25 13:05:26,559 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple3')
2024-07-25 13:05:26,776 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simpleDivi')
2024-07-25 13:05:26,776 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simpleDivi')
2024-07-25 13:05:26,994 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple3')
2024-07-25 13:05:26,994 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple3')
2024-07-25 13:05:27,212 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple5')
2024-07-25 13:05:27,212 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple5')
2024-07-25 13:05:27,430 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple4')
2024-07-25 13:05:27,431 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple4')
2024-07-25 13:05:27,660 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simpleEqual')
2024-07-25 13:05:27,660 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simpleEqual')
2024-07-25 13:05:27,877 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#resultIpt')
2024-07-25 13:05:27,894 INFO [root] [base.py (base_get_value:46] - 查找元素('css selector', '#resultIpt'),输入内容1.2514124293785311
2024-07-25 13:05:27,894 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#resultIpt')
2024-07-25 13:05:27,961 INFO [root] [base.py (base_get_value:46] - 查找元素('css selector', '#resultIpt'),输入内容1.2514124293785311
2024-07-25 13:05:27,964 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple9')
2024-07-25 13:05:27,965 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple9')
2024-07-25 13:05:28,174 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple4')
2024-07-25 13:05:28,174 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple4')
2024-07-25 13:05:28,406 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple3')
2024-07-25 13:05:28,406 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple3')
